frame.number,frame.time_relative,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type,icmp.ident,icmp.seq
"1","0.000000000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.254",,,,,,
"2","1.000679000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.254",,,,,,
"3","2.001918000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.254",,,,,,
"4","3.332728000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.20",,,,,,
"5","3.333157000","00:50:79:66:68:01","00:50:79:66:68:00","2","192.168.10.20","192.168.10.10",,,,,,
"6","3.333853000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","37216","1"
"7","3.334264000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","37216","1"
"8","4.335138000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","37472","2"
"9","4.335670000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","37472","2"
"10","5.336489000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","37728","3"
"11","5.337062000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","37728","3"
