frame.number,frame.time_relative,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type,icmp.ident,icmp.seq
"1","0.000000000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.20.10",,,,,,
"2","1.000900000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.20.10",,,,,,
"3","2.001586000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.20.10",,,,,,
"4","3.333959000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.20",,,,,,
"5","3.350219000","00:50:79:66:68:01","00:50:79:66:68:00","2","192.168.10.20","192.168.10.10",,,,,,
"6","3.365683000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","43104","1"
"7","3.366854000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","43104","1"
"8","4.388953000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","43360","2"
"9","4.389311000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","43360","2"
"10","5.390220000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","43616","3"
"11","5.390718000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","43616","3"
