frame.number,frame.time_relative,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type,icmp.ident,icmp.seq
"1","0.000000000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.1",,,,,,
"2","1.000317000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.1",,,,,,
"3","2.001145000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.1",,,,,,
"4","3.212625000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.20",,,,,,
"5","3.213119000","00:50:79:66:68:01","00:50:79:66:68:00","2","192.168.10.20","192.168.10.10",,,,,,
"6","3.213793000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","47968","1"
"7","3.214191000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","47968","1"
"8","4.214948000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","48224","2"
"9","4.215277000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","48224","2"
"10","5.216204000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","48480","3"
"11","5.216566000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","48480","3"
