frame.number,frame.time_relative,phase,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type
1,0.000000000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
2,1.500426000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
3,3.001155000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
4,5.236955000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
5,5.380904000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
6,5.549021000,recovery,02:42:d4:39:68:00,33:33:ff:39:68:00,,,,,,,
7,5.640405000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
8,5.641193000,recovery,02:42:d4:39:68:00,ff:ff:ff:ff:ff:ff,1,192.168.10.1,192.168.10.10,,,,
9,5.641588000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,2,192.168.10.10,192.168.10.1,,,,
10,5.641853000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
11,6.142890000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
12,6.143761000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
13,6.556937000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
14,6.557036000,recovery,02:42:d4:39:68:00,33:33:00:00:00:02,,,,,,,
15,6.645207000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
16,6.646154000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
17,7.132961000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
18,7.463663000,recovery,00:50:79:66:68:00,00:50:79:66:68:01,,,,192.168.10.10,192.168.10.20,64,8
19,7.464000000,recovery,00:50:79:66:68:01,00:50:79:66:68:00,,,,192.168.10.20,192.168.10.10,64,0
20,7.964975000,recovery,00:50:79:66:68:00,00:50:79:66:68:01,,,,192.168.10.10,192.168.10.20,64,8
21,7.965379000,recovery,00:50:79:66:68:01,00:50:79:66:68:00,,,,192.168.10.20,192.168.10.10,64,0
22,8.466391000,recovery,00:50:79:66:68:00,00:50:79:66:68:01,,,,192.168.10.10,192.168.10.20,64,8
23,8.467026000,recovery,00:50:79:66:68:01,00:50:79:66:68:00,,,,192.168.10.20,192.168.10.10,64,0
