frame.number,frame.time_relative,phase,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type
1,0.000000000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
2,1.500402000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
3,3.001133000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
4,5.236904000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
5,5.380849000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
6,5.548962000,recovery,02:42:d4:39:68:00,33:33:ff:39:68:00,,,,,,,
7,5.640379000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
8,5.641146000,recovery,02:42:d4:39:68:00,ff:ff:ff:ff:ff:ff,1,192.168.10.1,192.168.10.10,,,,
9,5.641552000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,2,192.168.10.10,192.168.10.1,,,,
10,5.641806000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
11,6.142867000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
12,6.143715000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
13,6.556880000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
14,6.556991000,recovery,02:42:d4:39:68:00,33:33:00:00:00:02,,,,,,,
15,6.645184000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
16,6.646107000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
17,7.132905000,recovery,02:42:d4:39:68:00,33:33:00:00:00:16,,,,,,,
