frame.number,frame.time_relative,phase,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type
1,0.000000000,fault,00:50:79:66:68:00,ff:ff:ff:ff:ff:ff,1,192.168.10.10,192.168.10.1,,,,
2,0.000294000,fault,02:42:d4:39:68:00,00:50:79:66:68:00,2,192.168.10.1,192.168.10.10,,,,
3,0.001132000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
4,1.502360000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
5,3.003401000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
6,3.039271000,fault,02:42:d4:39:68:00,33:33:00:00:00:02,,,,,,,
7,5.846450000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
8,5.847463000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
9,6.348959000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
10,6.350068000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
11,6.851438000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
12,6.852548000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
13,7.680901000,recovery,00:50:79:66:68:00,ff:ff:ff:ff:ff:ff,1,192.168.10.10,192.168.10.20,,,,
14,7.681261000,recovery,00:50:79:66:68:01,00:50:79:66:68:00,2,192.168.10.20,192.168.10.10,,,,
15,7.681954000,recovery,00:50:79:66:68:00,00:50:79:66:68:01,,,,192.168.10.10,192.168.10.20,64,8
16,7.682321000,recovery,00:50:79:66:68:01,00:50:79:66:68:00,,,,192.168.10.20,192.168.10.10,64,0
17,8.183537000,recovery,00:50:79:66:68:00,00:50:79:66:68:01,,,,192.168.10.10,192.168.10.20,64,8
18,8.184194000,recovery,00:50:79:66:68:01,00:50:79:66:68:00,,,,192.168.10.20,192.168.10.10,64,0
19,8.686238000,recovery,00:50:79:66:68:00,00:50:79:66:68:01,,,,192.168.10.10,192.168.10.20,64,8
20,8.686672000,recovery,00:50:79:66:68:01,00:50:79:66:68:00,,,,192.168.10.20,192.168.10.10,64,0
