frame.number,frame.time_relative,phase,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type
1,0.000000000,fault,00:50:79:66:68:00,ff:ff:ff:ff:ff:ff,1,192.168.10.10,192.168.10.1,,,,
2,0.000220000,fault,02:42:d4:39:68:00,00:50:79:66:68:00,2,192.168.10.1,192.168.10.10,,,,
3,0.001071000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
4,1.502314000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
5,3.003365000,fault,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
6,3.039180000,fault,02:42:d4:39:68:00,33:33:00:00:00:02,,,,,,,
7,5.846398000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
8,5.847386000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
9,6.348908000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
10,6.349991000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
11,6.851387000,recovery,00:50:79:66:68:00,02:42:d4:39:68:00,,,,192.168.10.10,192.168.20.10,64,8
12,6.852471000,recovery,02:42:d4:39:68:00,00:50:79:66:68:00,,,,192.168.20.10,192.168.10.10,63,0
13,7.680928000,recovery,00:50:79:66:68:00,ff:ff:ff:ff:ff:ff,1,192.168.10.10,192.168.10.20,,,,
